age,income,past_purchase,product_price,discount,revenue
56,25903.31,8.45,139.85,10.14,2103.45
69,53051.95,4.2,84.67,7.75,4272.19
46,38654.74,5.45,89.01,7.12,3126.95
32,28666.19,6.87,117.19,9.36,2313.25
60,40301.41,2.16,92.26,9.2,3239.76
25,33776.78,1.48,99.09,7.78,2703.51
38,75307.12,1.95,100.51,5.83,6046.12
56,63224.6,7.53,61.61,8.04,5115.84
36,49880.41,3.9,99.72,7.88,4025.23
40,72199.16,10.12,86.21,13.63,5852.75
28,51160.52,3.87,90.14,9.78,4120.34
28,37080.74,5.37,128.87,8.5,2993.07
41,72846.86,8.08,74.87,13.45,5926.93
53,58083.65,9.01,116.26,16.23,4759.66
57,34441.31,9.12,94.42,13.25,2815.12
41,47144.92,7.42,94.4,11.02,3856.71
20,36865.73,7.05,115.81,10.78,2969.84
39,29258.0,6.19,106.8,8.94,2361.52
19,63892.66,6.56,111.41,13.95,5163.63
41,78641.25,3.9,119.36,7.99,6283.1
61,29021.49,3.36,93.37,6.82,2298.91
47,58444.54,4.99,87.76,9.44,4722.26
55,40240.36,4.66,78.3,7.28,3243.08
19,42693.12,4.09,83.49,6.24,3459.96
38,41114.09,6.39,158.98,10.85,3339.95
50,37040.14,6.91,124.89,10.02,3011.39
29,50727.82,5.18,72.98,10.79,4128.78
39,37535.75,7.96,73.55,10.25,3074.3
61,54056.85,2.72,109.64,9.41,4307.37
42,49246.43,4.61,110.95,7.15,3984.95
66,46415.78,3.57,110.98,10.69,3715.79
44,36386.55,1.27,94.9,2.29,2878.75
59,41348.43,4.83,97.49,9.21,3331.87
45,61330.87,4.76,106.56,10.25,4922.54
33,57513.76,8.03,101.72,10.57,4661.65
32,35336.67,6.26,55.61,10.96,2904.1
64,51489.98,2.95,95.4,9.55,4137.79
68,61270.81,8.71,82.97,7.33,4936.47
61,24958.92,7.44,103.5,10.88,2037.58
69,58150.4,6.16,159.71,4.62,4674.28
20,40060.64,4.55,107.35,7.31,3250.88
54,58558.98,3.08,93.73,10.86,4748.33
68,38551.11,4.26,118.44,6.36,3111.28
24,22926.77,7.18,109.65,8.36,1914.64
38,25586.86,8.77,108.4,11.25,2091.57
26,50721.27,8.09,112.14,16.35,4160.07
56,53895.84,4.02,141.13,4.49,4305.92
35,36435.25,2.76,77.38,5.15,2920.62
21,59578.89,5.28,109.47,13.38,4828.72
42,25077.2,1.46,81.47,9.38,2039.48
31,49008.8,5.65,111.11,9.85,3976.61
67,31834.76,4.7,81.63,5.23,2544.55
26,40222.46,4.07,91.65,12.87,3283.31
43,50710.98,1.81,94.1,9.87,4058.49
19,37093.8,6.03,119.52,11.72,3029.87
37,44231.67,3.93,118.37,6.74,3550.15
45,65094.39,2.66,75.09,7.63,5222.33
64,41346.62,0.0,101.1,4.0,3292.72
24,62535.38,4.94,85.81,10.77,5036.17
61,33054.4,8.54,74.83,13.9,2760.36
25,57947.06,8.32,95.66,14.41,4687.94
64,71623.53,4.09,93.83,6.34,5729.49
52,15000.0,3.8,148.53,9.68,1216.25
31,38046.57,5.94,108.66,10.59,3106.58
34,58656.08,3.0,72.45,9.52,4724.32
53,46954.32,5.6,88.7,12.23,3803.62
67,55567.19,6.53,120.43,7.66,4479.19
57,40940.22,7.45,141.77,10.41,3310.43
21,51298.85,4.8,68.28,8.69,4185.24
19,47664.84,4.59,62.4,6.4,3877.69
23,67516.73,3.24,137.42,9.62,5440.89
59,53816.31,3.35,107.79,12.54,4308.55
21,55064.04,4.55,82.63,5.98,4442.56
46,43821.85,5.73,110.69,9.46,3537.78
35,42685.91,6.83,47.29,11.97,3473.61
43,43511.63,3.39,100.07,7.98,3507.69
61,55916.78,7.99,106.56,11.01,4517.03
51,43685.23,4.46,118.49,5.75,3519.79
27,54346.62,4.96,79.72,10.25,4379.32
53,81131.01,3.51,101.71,7.13,6537.3
31,63066.87,0.15,81.49,1.7,5013.8
48,45109.65,6.77,105.11,12.72,3669.92
65,68018.21,6.47,82.09,12.19,5508.51
32,43878.87,4.44,91.84,9.01,3537.87
25,19428.13,5.13,80.08,9.4,1624.04
31,34878.71,6.03,113.02,12.09,2820.83
40,21938.12,1.87,117.17,6.41,1783.16
57,44727.3,3.94,95.31,9.59,3601.69
38,50276.28,6.59,100.76,10.04,4063.79
33,75146.56,2.49,71.03,10.88,6040.51
62,54903.91,5.59,94.01,9.9,4443.68
35,46713.49,2.29,99.0,7.57,3739.19
64,62441.08,5.93,152.42,7.16,4991.52
41,16832.97,4.93,77.76,8.79,1384.18
43,53534.22,1.77,129.28,5.07,4248.27
42,61562.98,7.33,119.94,10.17,5013.63
62,27821.21,3.53,105.61,5.17,2215.44
58,67156.31,3.38,135.17,5.85,5384.16
46,55077.45,5.4,107.44,13.84,4459.89
32,43770.68,7.3,107.78,13.85,3553.57
62,59491.73,2.97,98.94,11.14,4775.71
18,84060.39,5.12,124.47,8.63,6781.06
42,52727.99,5.86,121.93,10.15,4254.21
24,53723.31,6.39,87.49,8.41,4379.81
26,43109.59,5.35,73.62,8.4,3522.15
41,37252.33,4.27,95.94,6.46,3022.8
18,62455.04,3.34,84.0,11.49,5034.23
61,37158.74,5.17,98.73,7.63,2975.25
25,51073.49,2.86,124.75,10.2,4097.14
41,42835.14,0.0,90.85,6.26,3421.77
28,57184.7,5.87,99.14,15.18,4654.48
68,55004.93,6.81,101.16,7.1,4388.37
34,65563.1,0.27,116.97,8.68,5241.04
25,42349.75,2.98,55.06,10.2,3436.56
52,45951.88,6.24,87.87,7.86,3711.73
52,35318.54,9.11,104.23,13.81,2928.38
50,43335.6,5.04,124.0,9.51,3501.93
22,55659.51,3.54,90.16,8.39,4514.44
59,61354.83,4.63,62.47,7.13,4934.29
56,36167.52,7.75,112.39,9.17,2959.93
58,63044.09,3.71,87.29,12.22,5107.36
45,70334.57,3.4,76.21,8.48,5680.3
24,56201.52,4.03,87.51,10.76,4520.57
26,78151.94,3.09,96.31,7.46,6272.31
25,38393.16,5.25,87.91,8.04,3111.76
29,31330.18,8.25,55.89,13.83,2612.43
51,23319.2,5.65,117.94,5.99,1901.51
50,72440.66,4.5,125.5,8.44,5797.11
65,59815.48,4.42,113.03,8.45,4800.85
40,49166.23,1.87,77.25,7.0,3905.7
41,54199.53,6.77,95.97,10.45,4420.99
54,33117.66,4.84,99.87,9.04,2668.08
52,86686.28,4.64,111.98,11.14,6966.95
61,51938.32,11.39,113.37,15.31,4241.37
57,51640.92,5.6,85.32,7.35,4186.92
39,60886.5,3.5,101.64,7.89,4835.81
44,57215.14,4.15,109.15,11.1,4608.62
52,53358.26,7.3,129.12,12.67,4318.19
18,38142.88,5.23,114.09,7.04,3082.06
52,57072.03,2.12,115.78,7.55,4599.2
54,78230.37,6.84,101.68,7.24,6279.61
64,70181.3,3.66,128.21,8.21,5633.42
31,73897.8,8.75,108.2,17.08,6012.2
20,42331.76,7.16,82.78,9.5,3482.73
18,35155.93,4.11,128.07,7.13,2825.94
22,48113.2,7.56,113.96,13.36,3909.79
43,50835.87,5.14,91.14,6.26,4119.81
31,66412.87,6.71,90.41,10.16,5383.04
56,24613.03,5.97,105.93,10.03,1976.2
44,72943.25,3.31,109.26,7.25,5838.09
26,47629.88,3.71,103.95,8.15,3848.08
32,43596.78,7.06,106.23,12.48,3570.56
32,34818.43,4.33,134.0,9.39,2798.51
43,25177.15,4.19,121.43,8.35,1976.56
59,62347.56,3.09,103.81,6.89,5003.03
30,51099.77,5.85,118.83,11.05,4112.86
68,30650.59,9.13,79.35,10.93,2479.69
49,30573.82,2.86,107.96,7.65,2398.26
56,44963.23,5.05,136.19,7.71,3628.01
66,75035.32,7.82,95.64,11.17,6059.8
69,46106.13,4.84,83.05,6.21,3701.91
49,27452.86,5.9,86.96,9.01,2267.68
21,46313.85,2.88,78.21,6.44,3746.21
47,45909.15,5.86,84.3,7.42,3745.39
54,15000.0,4.63,92.59,8.05,1198.52
40,49185.58,6.97,71.89,11.28,4002.19
56,46535.98,7.37,100.31,12.18,3747.99
62,60443.1,10.18,118.05,12.23,4902.58
32,77734.34,6.16,81.84,12.12,6278.84
60,66898.48,5.65,130.39,10.83,5393.0
46,45966.67,5.39,110.22,10.2,3715.89
53,33402.11,4.29,120.61,6.2,2694.89
30,88600.4,5.68,86.84,11.6,7161.26
49,50888.28,4.41,117.09,9.31,4137.74
24,50208.94,5.34,78.16,10.07,4067.87
68,49638.12,7.64,117.8,6.38,3983.12
39,52971.27,2.99,103.44,8.13,4260.38
45,47834.59,7.28,111.07,15.33,3879.14
19,41395.07,7.63,76.49,11.06,3423.05
59,41797.12,4.76,82.1,6.84,3362.6
62,49508.7,0.76,111.94,5.98,3928.78
23,41848.63,3.78,81.03,9.22,3380.58
45,39307.31,7.59,109.26,13.29,3224.3
45,51596.45,4.95,72.66,6.65,4159.83
61,46175.34,3.0,116.96,8.42,3684.87
61,72559.89,3.99,75.35,9.72,5866.08
37,15000.0,6.68,111.05,9.4,1232.71
47,66372.6,6.09,112.51,11.13,5355.41
28,68691.28,4.52,86.06,11.9,5560.4
45,18899.15,4.27,111.64,9.37,1505.57
42,44859.69,4.22,105.21,6.17,3618.07
56,44428.39,3.16,89.22,8.82,3550.1
50,28887.32,8.23,79.83,10.82,2396.8
18,38332.75,4.36,60.75,9.24,3102.71
44,33341.36,7.43,106.99,10.77,2738.86
69,76284.06,8.04,68.7,11.35,6188.13
30,64035.18,7.0,101.91,14.0,5212.45
58,69073.33,4.14,94.73,8.47,5551.99
20,60825.08,5.81,113.58,8.63,4909.66
56,33064.22,4.95,93.96,7.49,2659.49
23,42132.2,3.19,93.41,8.49,3431.47
25,57340.62,5.65,114.64,12.95,4630.4
44,31668.08,2.64,106.7,7.95,2523.68
26,60694.98,7.38,106.32,10.24,4933.73
54,46395.12,4.07,109.39,13.0,3727.43
50,44377.69,5.4,69.29,9.68,3577.69
68,60664.4,5.57,115.14,11.78,4855.62
59,56663.95,4.48,112.25,8.21,4540.78
61,44585.51,6.17,79.67,10.51,3611.71
41,67389.95,4.05,95.12,10.71,5431.56
32,33784.05,6.74,99.21,12.88,2788.58
49,59239.03,2.31,97.31,9.27,4762.24
49,58896.52,5.25,106.68,11.24,4747.15
41,45356.8,8.88,128.63,11.6,3691.32
58,54892.0,3.0,121.64,6.16,4398.56
69,31233.3,3.64,73.76,7.45,2538.99
66,63860.41,6.03,112.44,11.62,5147.72
66,47226.47,5.36,126.58,8.28,3785.47
69,42159.15,5.7,107.74,10.89,3384.32
29,65735.14,5.98,121.82,13.79,5288.06
56,39434.84,6.27,140.25,7.69,3191.25
19,28873.08,7.22,120.47,9.4,2381.71
20,26650.56,5.82,104.99,9.57,2197.38
66,59090.15,4.52,120.9,9.02,4738.57
54,30793.56,6.35,102.9,8.33,2529.51
66,76321.91,8.8,100.48,15.05,6168.49
34,18771.06,4.73,92.97,9.18,1561.31
66,75446.85,3.05,131.27,7.8,6030.41
19,53165.26,7.21,83.63,8.92,4310.95
19,48549.3,4.76,130.65,7.06,3926.36
45,41826.21,0.65,110.0,5.99,3342.0
40,55987.04,6.69,72.01,6.57,4537.77
54,49435.48,3.93,107.35,10.03,3978.79
49,66549.53,4.82,58.0,9.07,5367.05
50,51713.41,5.66,112.51,16.07,4239.61
18,52254.53,5.38,117.7,14.95,4267.63
36,44545.82,6.42,88.15,10.03,3635.11
19,49145.82,4.13,102.47,8.99,3973.68
61,54617.03,6.03,139.08,11.62,4420.35
43,24347.47,4.48,89.89,11.43,1999.83
49,29777.22,6.48,78.82,6.33,2425.36
23,61148.96,6.23,129.63,7.56,4927.97
49,52562.98,3.13,139.25,6.37,4201.28
21,47240.25,7.17,100.07,12.69,3790.74
28,50276.51,3.93,120.23,9.8,4057.1
34,55213.73,6.62,126.83,13.07,4464.42
55,41903.6,5.73,85.15,6.8,3417.36
41,38325.43,8.68,90.29,7.23,3129.93
22,52937.68,4.55,124.62,11.29,4253.13
69,35324.41,4.3,133.7,5.77,2822.08
51,56123.79,4.96,111.26,5.09,4485.05
23,24461.25,4.39,82.4,8.85,2011.84
39,65437.33,6.6,139.74,12.66,5290.16
28,57088.96,1.77,89.38,7.04,4600.73
65,53840.45,2.89,93.3,6.06,4292.26
33,64740.36,2.86,106.85,7.93,5198.05
50,74982.12,6.9,131.08,10.53,6013.74
26,65215.55,8.42,117.08,10.22,5301.17
23,22386.89,4.79,108.3,7.39,1837.82
33,30806.35,4.66,109.27,9.71,2511.56
46,40627.72,5.14,100.87,9.59,3286.89
20,50391.37,7.32,111.16,12.11,4111.17
37,57764.89,3.15,49.41,6.15,4683.56
53,39113.84,5.48,94.07,8.6,3158.3
36,52801.5,6.95,104.83,6.71,4273.18
43,38669.26,6.0,76.98,10.03,3125.33
20,40827.23,5.38,107.73,12.79,3307.89
36,28900.08,7.0,95.91,7.44,2365.53
37,36151.5,0.0,135.11,3.8,2886.57
49,29724.73,6.36,131.46,10.16,2410.25
24,35361.9,3.69,90.68,10.8,2866.96
69,65804.63,1.34,96.98,5.08,5238.58
58,35759.02,6.02,98.52,7.77,2882.95
50,89485.73,7.75,90.97,8.44,7219.78
57,57399.77,4.73,103.9,9.0,4587.16
